project,file_path,sha,method_name,cyclomatic_complexity,nloc,token_count,parameter_count,defer_count,channel_count,goroutine_count,error_handling_count,loop_count
rclone,cmd/bisync/cmd.go,44637dcd7fe1b4328cc9e6d73966f556c8747562,init,1,19,349,0,0,0,0,0,0
rclone,cmd/bisync/queue.go,4025f42bd9b6b755a828f59285c0e6321462b349,retryFastCopy,6,9,134,7,0,0,0,1,1
rclone,cmd/bisync/queue.go,4025f42bd9b6b755a828f59285c0e6321462b349,syncEmptyDirs,11,58,368,6,0,0,0,1,1
rclone,cmd/bisync/deltas.go,978cbf9360bb2f894baa8e6922fc7c856c1125c5,applyDeltas,33,166,1174,3,0,0,0,7,3
rclone,cmd/bisync/operations.go,4025f42bd9b6b755a828f59285c0e6321462b349,runLocked,52,200,1561,1,0,0,0,16,0
rclone,cmd/bisync/bilib/output.go,f995ece64d419e4b4dcda57748718b67dde46601,,2,6,28,0,1,0,0,1,0
rclone,cmd/bisync/bilib/output.go,f995ece64d419e4b4dcda57748718b67dde46601,CaptureOutput,1,12,76,1,1,0,0,1,0
rclone,fs/cache/cache.go,c0c74003f2d77058548d5f3320e9f25cda9bffa0,,1,6,40,0,0,0,0,0,0
rclone,fs/cache/cache.go,c0c74003f2d77058548d5f3320e9f25cda9bffa0,,2,6,49,1,0,0,0,0,0
rclone,fs/cache/cache.go,c0c74003f2d77058548d5f3320e9f25cda9bffa0,GetFn,7,27,182,5,0,0,0,2,0
rclone,fs/cache/cache.go,c0c74003f2d77058548d5f3320e9f25cda9bffa0,,1,3,13,0,0,0,0,0,0
rclone,fs/cache/cache.go,c0c74003f2d77058548d5f3320e9f25cda9bffa0,PinUntilFinalized,1,4,27,1,0,0,0,0,0
rclone,fs/cache/cache.go,c0c74003f2d77058548d5f3320e9f25cda9bffa0,ClearConfig,1,4,24,1,0,0,0,0,0
rclone,fs/cache/cache.go,c0c74003f2d77058548d5f3320e9f25cda9bffa0,Clear,1,4,14,0,0,0,0,0,0
rclone,backend/local/clone_darwin.go,87ec26001f399cd1fe728a98d78c1b6ec4f0d322,Copy,6,21,146,3,0,0,0,2,0
rclone,backend/jottacloud/jottacloud.go,ae887ad042f83bf7c983b779a44e85f496ff8de6,Move,11,32,243,3,0,0,0,4,0
rclone,cmd/bisync/listing.go,0dd0d6a13e1e9f56d6f270de0bcd213e4319dec4,has,1,4,26,1,0,0,0,0,0
rclone,cmd/bisync/listing.go,0dd0d6a13e1e9f56d6f270de0bcd213e4319dec4,get,1,3,22,1,0,0,0,0,0
rclone,cmd/bisync/listing.go,0dd0d6a13e1e9f56d6f270de0bcd213e4319dec4,listDirsOnly,5,25,165,1,0,0,0,1,1
rclone,backend/webdav/webdav.go,73beae147f4d2673fe61ae1085667e29062d4b23,listAll,20,74,467,6,0,0,0,3,1
rclone,backend/webdav/webdav.go,73beae147f4d2673fe61ae1085667e29062d4b23,copyOrMove,12,49,354,4,0,0,0,5,0
rclone,backend/webdav/webdav.go,73beae147f4d2673fe61ae1085667e29062d4b23,SetModTime,7,28,183,2,0,0,0,1,0
rclone,backend/webdav/webdav.go,73beae147f4d2673fe61ae1085667e29062d4b23,updateSimple,3,25,170,10,0,0,0,1,0
rclone,backend/onedrive/metadata.go,1473de3f040af01c0d554cc6f6490c826bbbf3fa,fetchMetadataForCreate,6,30,213,4,0,0,0,2,0
rclone,backend/onedrive/metadata.go,1473de3f040af01c0d554cc6f6490c826bbbf3fa,fetchAndUpdatePermissions,6,17,140,4,0,0,0,1,0
rclone,backend/onedrive/onedrive.go,1473de3f040af01c0d554cc6f6490c826bbbf3fa,createUploadSession,2,10,103,3,0,0,0,1,0
rclone,backend/onedrive/onedrive.go,1473de3f040af01c0d554cc6f6490c826bbbf3fa,uploadMultipart,9,42,299,4,1,0,0,3,1
rclone,fs/log.go,1473de3f040af01c0d554cc6f6490c826bbbf3fa,PrettyPrint,3,11,74,3,0,0,0,1,0
rclone,cmd/bisync/resolve.go,68f09986999824d247d084f3aed81ec957cd0a93,resolveNewerOlder,11,34,276,5,0,0,0,0,0
rclone,backend/memory/memory.go,c789436580bc6729e2d95c2f32c5a272e69b4835,list,13,47,278,7,1,0,0,2,1
rclone,backend/memory/memory.go,c789436580bc6729e2d95c2f32c5a272e69b4835,,1,4,26,3,0,0,0,0,0
rclone,backend/memory/memory.go,c789436580bc6729e2d95c2f32c5a272e69b4835,,1,3,23,3,0,0,0,0,0
rclone,backend/memory/memory.go,c789436580bc6729e2d95c2f32c5a272e69b4835,,1,3,34,4,0,0,0,0,0
rclone,backend/memory/memory.go,c789436580bc6729e2d95c2f32c5a272e69b4835,ListR,7,28,161,3,0,0,0,4,1
