project,file_path,sha,method_name,cyclomatic_complexity,nloc,token_count,parameter_count,defer_count,channel_count,goroutine_count,error_handling_count,loop_count
rclone,backend/http/http.go,44e83d77d754aef3b4408edf62f5943d1c979a8c,httpConnection,9,33,232,2,0,0,0,3,0
rclone,backend/http/http.go,44e83d77d754aef3b4408edf62f5943d1c979a8c,getFsEndpoint,15,51,347,4,0,0,0,2,0
rclone,cmd/bisync/cmd.go,f4c058e13e3b0af3bed5c4e6db39599e5e440694,init,1,36,698,0,0,0,0,0,0
rclone,cmd/bisync/queue.go,f4c058e13e3b0af3bed5c4e6db39599e5e440694,syncEmptyDirs,11,58,368,6,0,0,0,1,1
rclone,cmd/bisync/queue.go,f4c058e13e3b0af3bed5c4e6db39599e5e440694,retryFastCopy,11,24,233,7,0,0,0,2,1
rclone,cmd/bisync/deltas.go,3b49fd24d4e9eebe04e676c680a49056714c5ace,applyDeltas,56,195,1565,3,0,0,0,6,3
rclone,cmd/bisync/operations.go,3b49fd24d4e9eebe04e676c680a49056714c5ace,runLocked,49,196,1535,1,0,0,0,17,0
rclone,cmd/bisync/bilib/output.go,abe884e74473e8a60beacc7b013ca6db899adcb9,,2,6,28,0,0,0,0,0,0
rclone,cmd/bisync/bilib/output.go,abe884e74473e8a60beacc7b013ca6db899adcb9,CaptureOutput,1,11,70,1,0,0,0,0,0
rclone,fs/cache/cache.go,9b4b3033da25ec41aabb35b858a765dd734a5f09,PutErr,2,9,57,3,0,0,0,1,0
rclone,fs/cache/cache.go,9b4b3033da25ec41aabb35b858a765dd734a5f09,Clear,1,5,17,0,0,0,0,0,0
rclone,fs/cache/cache.go,9b4b3033da25ec41aabb35b858a765dd734a5f09,,3,9,41,1,0,0,0,0,1
rclone,fs/cache/cache.go,9b4b3033da25ec41aabb35b858a765dd734a5f09,isChild,1,6,29,1,0,0,0,0,0
rclone,fs/cache/cache.go,9b4b3033da25ec41aabb35b858a765dd734a5f09,getError,4,9,39,2,0,0,0,1,0
rclone,fs/cache/cache.go,9b4b3033da25ec41aabb35b858a765dd734a5f09,GetFn,9,36,234,5,0,0,0,2,0
rclone,fs/cache/cache.go,9b4b3033da25ec41aabb35b858a765dd734a5f09,ClearConfig,1,5,28,1,0,0,0,0,0
rclone,fs/cache/cache.go,9b4b3033da25ec41aabb35b858a765dd734a5f09,EntriesWithPinCount,1,4,21,0,0,0,0,0,0
rclone,fs/cache/cache.go,9b4b3033da25ec41aabb35b858a765dd734a5f09,PinUntilFinalized,1,4,27,1,0,0,0,0,0
rclone,fs/cache/cache.go,9b4b3033da25ec41aabb35b858a765dd734a5f09,ClearMappings,1,6,35,0,1,0,0,0,0
rclone,fs/cache/cache.go,9b4b3033da25ec41aabb35b858a765dd734a5f09,ClearMappingsPrefix,1,8,35,1,0,0,0,0,1
rclone,fs/cache/cache.go,9b4b3033da25ec41aabb35b858a765dd734a5f09,addChild,2,8,33,2,0,0,0,0,0
rclone,lib/cache/cache.go,9b4b3033da25ec41aabb35b858a765dd734a5f09,EntriesWithPinCount,3,12,61,0,0,0,0,0,1
rclone,backend/local/clone_darwin.go,462a1cf491e5c6bdab4e35891dc59af7d7c28a4c,Copy,13,40,256,3,0,0,0,5,0
rclone,backend/jottacloud/jottacloud.go,9a02c040284d30ccf90b1257680e0b5117e10d0f,Move,11,32,243,3,0,0,0,4,0
rclone,cmd/bisync/listing.go,956c2963fd1d7352e58913b4bb6282310c1c5f1e,ConvertPrecision,3,10,88,2,0,0,0,0,0
rclone,cmd/bisync/listing.go,956c2963fd1d7352e58913b4bb6282310c1c5f1e,modifyListing,63,183,1504,6,0,0,0,8,9
rclone,cmd/bisync/listing.go,956c2963fd1d7352e58913b4bb6282310c1c5f1e,has,3,12,71,1,0,0,0,0,0
rclone,cmd/bisync/listing.go,956c2963fd1d7352e58913b4bb6282310c1c5f1e,listDirsOnly,5,25,164,1,0,0,0,1,1
rclone,cmd/bisync/listing.go,956c2963fd1d7352e58913b4bb6282310c1c5f1e,get,2,8,59,1,0,0,0,0,0
rclone,backend/s3/s3.go,8470bdf8104e3e040172de8e725f09464d736911,headObject,10,27,198,2,0,0,0,1,0
rclone,fs/operations/operations.go,5323a2189852b29e67dd1ff9cb726518e4612f59,move,18,59,470,6,1,0,0,3,0
rclone,fs/operations/operations.go,5323a2189852b29e67dd1ff9cb726518e4612f59,,1,3,45,3,0,0,0,0,0
rclone,backend/webdav/webdav.go,71069ed5c1942113fe28e39d7d4b2eb802ef7db5,SetModTime,14,44,298,2,0,0,0,2,0
rclone,backend/webdav/webdav.go,71069ed5c1942113fe28e39d7d4b2eb802ef7db5,listAll,24,84,515,6,0,0,0,3,1
rclone,backend/webdav/webdav.go,71069ed5c1942113fe28e39d7d4b2eb802ef7db5,updateSimple,3,25,170,10,0,0,0,0,0
rclone,backend/webdav/webdav.go,71069ed5c1942113fe28e39d7d4b2eb802ef7db5,copyOrMove,13,49,372,4,0,0,0,5,0
rclone,cmd/bisync/bilib/output.go,f995ece64d419e4b4dcda57748718b67dde46601,,2,6,28,0,1,0,0,1,0
rclone,cmd/bisync/bilib/output.go,f995ece64d419e4b4dcda57748718b67dde46601,CaptureOutput,1,12,76,1,1,0,0,1,0
rclone,backend/onedrive/metadata.go,998df26ceb125601fed286052cc82b960550bc4d,fetchMetadataForCreate,6,30,228,4,0,0,0,2,0
rclone,backend/onedrive/metadata.go,998df26ceb125601fed286052cc82b960550bc4d,fetchAndUpdatePermissions,6,17,140,4,0,0,0,3,0
rclone,backend/onedrive/onedrive.go,998df26ceb125601fed286052cc82b960550bc4d,createUploadSession,2,10,114,3,0,0,0,1,0
rclone,backend/onedrive/onedrive.go,998df26ceb125601fed286052cc82b960550bc4d,uploadMultipart,10,42,295,4,1,0,0,3,1
rclone,fs/log.go,998df26ceb125601fed286052cc82b960550bc4d,PrettyPrint,5,11,88,3,0,0,0,1,0
rclone,cmd/bisync/resolve.go,bce80be2f8916b46823ba8e6c90617e7a5471486,resolveNewerOlder,11,33,308,5,0,0,0,0,0
rclone,backend/memory/memory.go,f62e7b5b30be8357e53fe0134baafe25cf552238,list,13,47,289,7,1,0,0,2,1
rclone,fstest/fstests/fstests.go,f62e7b5b30be8357e53fe0134baafe25cf552238,Run,10,82,545,2,18,0,0,13,24
rclone,fstest/fstests/fstests.go,f62e7b5b30be8357e53fe0134baafe25cf552238,,1,61,473,1,7,0,0,8,11
rclone,backend/memory/memory.go,2b0a25a64d95edb671bfc31df99577bff3b2faff,,1,4,26,3,0,0,0,0,0
rclone,backend/memory/memory.go,2b0a25a64d95edb671bfc31df99577bff3b2faff,ListR,7,29,168,3,0,0,0,6,2
rclone,backend/memory/memory.go,2b0a25a64d95edb671bfc31df99577bff3b2faff,,4,13,70,4,0,0,0,2,1
rclone,backend/memory/memory.go,fecce67ac66f889f729b1ae11bebaee4885798c4,Copy,3,17,132,3,0,0,0,0,0
rclone,fstest/fstests/fstests.go,fecce67ac66f889f729b1ae11bebaee4885798c4,Run,10,82,545,2,18,0,0,13,24
rclone,fstest/fstests/fstests.go,fecce67ac66f889f729b1ae11bebaee4885798c4,,5,25,228,1,0,0,0,2,0
rclone,fs/operations/operations.go,431524445eaf3b767e7127fc1eb7f5d2fdc7af2d,DirMove,16,58,416,4,0,1,0,7,6
rclone,backend/combine/combine.go,252562d00a757ee8d6913a9ba2c71d00e7fd8541,,4,14,91,1,0,0,0,1,0
rclone,fs/dir_wrapper.go,252562d00a757ee8d6913a9ba2c71d00e7fd8541,SetMetadata,3,11,70,2,0,0,0,0,0
rclone,fs/dir_wrapper.go,252562d00a757ee8d6913a9ba2c71d00e7fd8541,NewLimitedDirWrapper,1,5,28,2,0,0,0,0,0
rclone,fs/dir_wrapper.go,252562d00a757ee8d6913a9ba2c71d00e7fd8541,SetModTime,3,11,72,2,0,0,0,0,0
rclone,cmd/cmount/mount.go,fd8faeb0e6289f6b56699c3fceb102f449d3de53,mountOptions,19,67,453,4,0,0,0,0,2
rclone,vfs/dir.go,fd8faeb0e6289f6b56699c3fceb102f449d3de53,,6,8,120,2,0,0,0,0,0
rclone,vfs/vfsflags/vfsflags.go,fd8faeb0e6289f6b56699c3fceb102f449d3de53,AddFlags,1,29,557,1,0,0,0,0,0
rclone,cmd/nfsmount/nfsmount.go,7b8bbe531e0f062254b2d8ffe1e6284cd62309f6,mount,6,39,304,3,0,1,1,3,1
rclone,cmd/bisync/operations.go,d031cc138dae08edad68c95a590dc7cefedda834,checkSyntax,8,20,179,0,0,0,0,2,0
rclone,cmd/bisync/operations.go,d031cc138dae08edad68c95a590dc7cefedda834,Bisync,20,82,555,4,2,0,0,8,1
rclone,cmd/bisync/checkfn.go,57624629d6b43177846fd64b3e252d1ad364bec4,CryptCheckFn,6,26,224,3,0,0,0,2,0
rclone,cmd/bisync/log.go,57624629d6b43177846fd64b3e252d1ad364bec4,escapePath,4,14,75,2,0,0,0,0,0
rclone,cmd/bisync/log.go,57624629d6b43177846fd64b3e252d1ad364bec4,encode,1,3,25,1,0,0,0,0,0
rclone,backend/hasher/commands.go,3ca766b2f11a7e84322d04fbe65cc8334aa30ee5,dbDump,6,29,174,3,0,0,0,2,0
rclone,backend/hasher/hasher.go,3ca766b2f11a7e84322d04fbe65cc8334aa30ee5,,4,11,72,1,0,0,0,1,0
rclone,lib/kv/bolt.go,3ca766b2f11a7e84322d04fbe65cc8334aa30ee5,Do,3,13,70,2,0,0,0,0,0
rclone,backend/box/box.go,0d34efb10f7a20ac45f2839ea78256b35186c958,getClaims,2,17,114,2,0,0,0,1,0
rclone,fs/accounting/stats.go,0328878e46da5d8ef8096dc519c7c1f9780c129d,etaString,3,10,52,3,0,0,0,0,0
rclone,fs/parseduration.go,0328878e46da5d8ef8096dc519c7c1f9780c129d,ShortReadableString,1,3,18,0,0,0,0,0,0
rclone,fs/parseduration.go,0328878e46da5d8ef8096dc519c7c1f9780c129d,ReadableString,1,3,18,0,0,0,0,0,0
rclone,fs/parseduration.go,0328878e46da5d8ef8096dc519c7c1f9780c129d,readableString,10,49,315,1,0,0,0,0,1
rclone,backend/smb/connpool.go,d376fb1df25ca0203347c54b032685239d61c371,closed,2,9,53,0,0,0,0,0,0
rclone,backend/seafile/renew.go,f31ab6d17857cc5619f321f0d7146721099ba644,Shutdown,1,3,19,0,0,0,0,0,0
rclone,backend/seafile/renew.go,f31ab6d17857cc5619f321f0d7146721099ba644,NewRenew,1,10,64,2,0,1,1,0,0
rclone,backend/seafile/renew.go,f31ab6d17857cc5619f321f0d7146721099ba644,,1,4,18,0,0,0,0,0,0
rclone,backend/seafile/renew.go,f31ab6d17857cc5619f321f0d7146721099ba644,renewOnExpiry,5,13,57,0,0,0,0,1,1
rclone,backend/seafile/seafile.go,f31ab6d17857cc5619f321f0d7146721099ba644,,1,3,19,0,0,0,0,0,0
rclone,backend/seafile/seafile.go,f31ab6d17857cc5619f321f0d7146721099ba644,Shutdown,2,7,35,1,0,0,0,0,0
rclone,backend/seafile/seafile.go,f31ab6d17857cc5619f321f0d7146721099ba644,NewFs,28,126,754,4,0,0,0,13,0
rclone,backend/seafile/seafile.go,b085aa1a3f6e0c29018e2c7cd8eaca33806e0e9f,Config,19,66,455,4,1,0,0,2,0
rclone,backend/local/local.go,ad5395e95352e7e1d257353cca321082b52cb51d,List,33,100,655,2,1,0,0,12,3
rclone,backend/smb/smb.go,7db1c506f261698a536c343de39b628fc82e13bb,ensureDirectory,3,13,83,3,0,0,0,1,0
rclone,backend/jottacloud/jottacloud.go,72227a01519f4cc9b0a1ecd390785c9d1d09d5d0,Config,52,263,1697,4,0,0,0,18,3
rclone,backend/sftp/sftp.go,f0396070ebc24762c2f90a91835aa90367aa2872,NewFsWithConnection,16,100,756,7,0,0,0,7,0
rclone,backend/jottacloud/jottacloud.go,9dbed02329456c71d2052a6365041deda94bc020,NewFs,13,61,437,4,0,0,0,6,0
rclone,backend/jottacloud/jottacloud.go,9dbed02329456c71d2052a6365041deda94bc020,Config,54,266,1702,4,0,0,0,16,3
rclone,backend/jottacloud/jottacloud.go,9dbed02329456c71d2052a6365041deda94bc020,doTokenAuth,5,44,340,3,0,0,0,4,0
rclone,backend/jottacloud/jottacloud.go,9dbed02329456c71d2052a6365041deda94bc020,getOAuthClient,14,62,363,3,0,0,0,20,3
rclone,cmd/ncdu/ncdu.go,0f41e91d411fdfbd517a2c2a8f76bdaeb9b0ae47,NewUI,1,16,77,1,0,0,0,0,0
rclone,cmd/ncdu/ncdu.go,0f41e91d411fdfbd517a2c2a8f76bdaeb9b0ae47,delete,4,22,159,0,0,0,0,2,0
rclone,cmd/ncdu/ncdu.go,0f41e91d411fdfbd517a2c2a8f76bdaeb9b0ae47,setCurrentDir,1,6,53,1,0,0,0,0,0
rclone,backend/jottacloud/jottacloud.go,a9d3283d97e15a51c838a5d13655d9c1e9bee55e,,2,9,72,0,0,0,0,1,0
rclone,backend/jottacloud/jottacloud.go,a9d3283d97e15a51c838a5d13655d9c1e9bee55e,,2,6,29,1,0,0,0,0,0
rclone,backend/jottacloud/jottacloud.go,a9d3283d97e15a51c838a5d13655d9c1e9bee55e,parseListRStream,15,68,346,5,0,0,0,7,0
rclone,backend/jottacloud/jottacloud.go,a9d3283d97e15a51c838a5d13655d9c1e9bee55e,parseListRStream,15,69,370,4,0,0,0,8,1
rclone,backend/jottacloud/jottacloud.go,a9d3283d97e15a51c838a5d13655d9c1e9bee55e,,1,5,30,1,0,0,0,0,0
rclone,backend/jottacloud/jottacloud.go,a9d3283d97e15a51c838a5d13655d9c1e9bee55e,ListR,5,23,149,3,0,0,0,3,0
rclone,backend/jottacloud/jottacloud.go,a9d3283d97e15a51c838a5d13655d9c1e9bee55e,getOAuthClient,14,62,363,3,0,0,0,20,3
rclone,cmd/ncdu/ncdu.go,97606bbdef90bebe240d9d4603cbbacf17e06e36,biggestEntry,4,12,64,0,0,0,0,0,1
rclone,cmd/ncdu/ncdu.go,97606bbdef90bebe240d9d4603cbbacf17e06e36,hasEmptyDir,5,12,64,0,0,0,0,0,1
rclone,cmd/ncdu/ncdu.go,97606bbdef90bebe240d9d4603cbbacf17e06e36,Less,17,45,312,2,0,0,0,0,0
rclone,cmd/ncdu/ncdu.go,97606bbdef90bebe240d9d4603cbbacf17e06e36,Draw,29,115,732,0,0,0,0,4,1
rclone,cmd/ncdu/scan/scan.go,97606bbdef90bebe240d9d4603cbbacf17e06e36,AverageSize,2,7,41,0,0,0,0,0,0
rclone,cmd/ncdu/scan/scan.go,97606bbdef90bebe240d9d4603cbbacf17e06e36,AttrI,3,13,135,1,1,0,0,0,0
rclone,backend/http/http.go,a667e03fc9ebc0e21f56e7a820bf873be987e034,,1,5,32,0,0,0,0,0,0
rclone,backend/http/http.go,a667e03fc9ebc0e21f56e7a820bf873be987e034,init,1,61,117,0,0,0,0,0,0
rclone,backend/http/http.go,a667e03fc9ebc0e21f56e7a820bf873be987e034,NewFs,9,48,306,4,0,0,0,4,0
rclone,backend/http/http.go,a667e03fc9ebc0e21f56e7a820bf873be987e034,,1,3,23,2,0,0,0,0,0
rclone,backend/http/http.go,a667e03fc9ebc0e21f56e7a820bf873be987e034,getFsEndpoint,15,51,347,4,0,0,0,2,0
rclone,fs/config/ui.go,c504d970174a604a39fdb2b2d1c51f2ca34ab31d,Choose,22,75,405,7,0,0,0,1,4
rclone,vfs/vfscache/cache.go,4b99e84242f990281c4aca5b68aaec32dc9cf11c,createItemDir,3,14,97,1,0,0,0,2,0
rclone,backend/union/policy/eplus.go,9beb0677e4462e13c45742159dae720732663b3a,lusEntries,4,16,102,1,0,0,0,1,1
rclone,fs/accounting/stats_groups.go,7b7d780fffd8981e48c89096ef0e14400e625ca5,sum,7,43,322,1,1,0,0,0,1
rclone,lib/http/http.go,a074a2b9832e5e0ace0b8fbca3e4245b8c10e32d,NewServer,19,86,618,3,0,0,0,2,2
rclone,lib/http/http.go,a074a2b9832e5e0ace0b8fbca3e4245b8c10e32d,Serve,4,13,82,0,1,0,2,1,2
rclone,lib/http/http.go,a074a2b9832e5e0ace0b8fbca3e4245b8c10e32d,,3,6,50,1,0,0,0,0,0
rclone,lib/http/http.go,a074a2b9832e5e0ace0b8fbca3e4245b8c10e32d,,4,12,76,2,1,0,0,1,0
rclone,lib/http/http.go,a074a2b9832e5e0ace0b8fbca3e4245b8c10e32d,useSSL,2,3,24,1,0,0,0,0,0
rclone,fs/accounting/stats_groups.go,82ad9a30b909008458222bb0b076b77100407b2b,sum,6,35,267,1,1,0,0,0,1
rclone,backend/ftp/ftp.go,29c6c86c009a25c26dde4639766f171164f697f3,init,1,111,399,0,0,0,0,0,0
rclone,backend/ftp/ftp.go,29c6c86c009a25c26dde4639766f171164f697f3,,10,40,324,0,2,0,0,12,1
rclone,cmd/serve/dlna/cds.go,16949fde09d87ebbeeb8f2f6d84e1d1d58c52f31,init,4,30,161,0,0,0,0,0,0
rclone,fs/mimetype.go,16949fde09d87ebbeeb8f2f6d84e1d1d58c52f31,init,5,32,172,0,0,0,0,1,2
rclone,backend/chunker/chunker.go,cf9b82b8dbfe0b4ae8b89059a1eb10d97c35881a,setHashType,12,33,194,1,0,0,0,0,0
rclone,backend/chunker/chunker.go,cf9b82b8dbfe0b4ae8b89059a1eb10d97c35881a,processEntries,23,71,461,3,0,0,0,2,1
rclone,lib/http/auth/auth.go,023e32de0565ca3fdfa971b3af91c3f70c80840f,AddFlagsPrefix,1,7,133,3,0,0,0,0,0
rclone,lib/http/auth/auth.go,023e32de0565ca3fdfa971b3af91c3f70c80840f,Auth,4,10,80,1,0,0,0,0,0
rclone,lib/http/auth/basic.go,023e32de0565ca3fdfa971b3af91c3f70c80840f,SingleAuth,1,7,71,3,0,0,0,0,0
rclone,lib/http/auth/basic.go,023e32de0565ca3fdfa971b3af91c3f70c80840f,SingleAuth,1,7,73,4,0,0,0,0,0
rclone,backend/crypt/crypt.go,7190c058a76dfd50e006c7e63ddef475bd2248f2,,15,48,367,1,0,0,0,6,0
rclone,backend/crypt/crypt.go,7190c058a76dfd50e006c7e63ddef475bd2248f2,,3,80,220,0,1,0,0,26,5
rclone,fs/operations/operations.go,7a1cab57b60cedcd747d366d809a225b593ef324,HashLister,2,11,96,6,1,1,1,1,0
rclone,fs/operations/operations.go,7a1cab57b60cedcd747d366d809a225b593ef324,hashSum,9,41,313,4,2,0,0,6,1
rclone,fs/operations/operations.go,7a1cab57b60cedcd747d366d809a225b593ef324,,3,13,85,0,1,0,1,1,0
rclone,fs/operations/operations.go,7a1cab57b60cedcd747d366d809a225b593ef324,,1,5,27,1,1,0,1,1,0
rclone,cmd/serve/docker/options.go,729704bcb8f2b007111f31bdea9157e1c0ee3a50,getVFSOption,25,63,456,3,0,0,0,2,0
rclone,cmd/serve/http/http.go,b30731c9d04d03faee84e78f0e0f16357996e6dc,Bind,2,11,85,1,0,0,0,0,0
rclone,backend/seafile/seafile.go,00c6642fad9c04965601fe75d23b370406acdaa9,Config,19,66,460,4,1,0,0,2,0
rclone,vfs/vfscache/cache.go,3a2f748aebfe4763c375de45ff18584e8c7a886b,removeNotInUse,2,11,97,3,0,0,0,1,0
rclone,vfs/vfscache/cache.go,3a2f748aebfe4763c375de45ff18584e8c7a886b,createDir,1,3,18,1,0,0,0,0,0
rclone,vfs/vfscache/cache.go,3a2f748aebfe4763c375de45ff18584e8c7a886b,getBackends,3,8,94,3,0,0,0,2,0
rclone,vfs/vfscache/cache.go,3a2f748aebfe4763c375de45ff18584e8c7a886b,New,7,51,372,4,0,1,1,4,0
rclone,vfs/vfscache/cache.go,3a2f748aebfe4763c375de45ff18584e8c7a886b,KickCleaner,3,21,133,0,0,0,0,0,1
rclone,vfs/vfscache/cache.go,3a2f748aebfe4763c375de45ff18584e8c7a886b,toOSPath,1,3,28,1,0,0,0,0,0
rclone,vfs/vfscache/cache.go,3a2f748aebfe4763c375de45ff18584e8c7a886b,rename,10,34,239,2,0,0,0,6,0
