project,file_path,sha,method_name,cyclomatic_complexity,nloc,token_count,parameter_count,defer_count,channel_count,goroutine_count,error_handling_count,loop_count
terraform,internal/terraform/upgrade_resource_state.go,b2b42c0fb42e1d86e5f54a750b4489e92b1625ed,upgradeResourceIdentity,8,56,376,4,0,0,0,2,1
terraform,internal/terraform/eval_import.go,6917e69d12cd2cae11a789b233f63e9768a5adb0,evaluateImportIdentityExpression,5,28,217,5,0,0,0,0,0
terraform,internal/terraform/node_resource_plan_instance.go,6917e69d12cd2cae11a789b233f63e9768a5adb0,managedResourceExecute,50,177,1155,1,0,0,0,7,0
terraform,internal/command/views/hook_ui.go,94ea534e4080f3f1bf337617473df3dc7b1357ba,NewUiHook,1,7,35,1,0,0,0,0,0
terraform,internal/command/views/hook_ui.go,94ea534e4080f3f1bf337617473df3dc7b1357ba,PreApplyImport,1,7,62,2,0,0,0,0,0
terraform,internal/command/views/hook_ui.go,94ea534e4080f3f1bf337617473df3dc7b1357ba,PostApplyImport,1,7,62,2,0,0,0,0,0
terraform,internal/command/views/json/diagnostic.go,1bd312f15566c7f25510d63b68857b82d194bb29,NewDiagnostic,52,217,1348,2,0,0,0,1,4
terraform,internal/genconfig/generate_config.go,ba043a04d5e34ab670dd0254dafb12d30b2ce99d,writeConfigAttributesFromExisting,22,76,541,5,0,0,0,3,2
terraform,internal/lang/checks.go,a2ca1208a49e05b4f1c5e56619f768e2a9d4a364,EvalCheckErrorMessage,6,49,301,2,0,0,0,1,0
terraform,internal/moduletest/eval_context.go,0f845adfdb0563c3e1cf0342402260f8ce36af5d,Evaluate,9,95,746,0,0,0,0,1,2
terraform,internal/terraform/context_plan.go,884e1fb2a4b870185179b98b3368300eb89946fd,planWalk,16,103,708,3,0,0,0,0,1
terraform,internal/refactoring/move_validate.go,aa414f3ab356ca759f9772457be77d7650fd6f26,ValidateMoves,16,126,727,3,0,0,0,0,2
terraform,command/views/json/diagnostic.go,d9d88b92439b9047570bcfa5fc1e90cf71aec60d,compactValueStr,16,49,248,1,0,0,0,0,1
terraform,internal/backend/local/test.go,edcc35c96cd3468931079276c9be84b57980070f,run,21,123,902,4,3,0,0,0,1
terraform,internal/backend/local/test.go,edcc35c96cd3468931079276c9be84b57980070f,destroy,6,37,291,4,2,0,1,0,0
terraform,internal/stacks/stackruntime/apply.go,2a0d407eb69d5b8795a75b6b7a12d08f62cb0fab,Apply,4,34,157,3,0,0,0,1,2
terraform,internal/logging/panic.go,3f31533f86a5b551d727c68547d722ecbf5f0792,PanicHandler,2,10,49,0,0,0,0,0,0
terraform,internal/stacks/tfstackdata1/convert.go,a4d61733f6ee24add1186e2afd7edd562e211629,DynamicValueFromTFStackData1,1,4,37,2,0,0,0,0,0
terraform,internal/stacks/stackruntime/internal/stackeval/component_instance.go,ea3b70abf08fc2ed3fc93f7ed75f695d79d44c58,ResultValue,5,22,132,2,0,0,0,1,1
terraform,internal/terraform/context_apply.go,3732bffe1397dd8c482a6515383d009fe2d6ec44,applyGraph,8,51,288,3,0,0,0,1,2
terraform,internal/terraform/context_eval.go,36c4d4c241b3402d7fbf677e4e7850f6ab80e66f,Eval,3,33,236,4,1,0,0,0,0
terraform,internal/terraform/context_plan.go,3732bffe1397dd8c482a6515383d009fe2d6ec44,planGraph,4,46,291,3,0,0,0,0,0
terraform,internal/terraform/context_plugins.go,ec3a38e5ed99a7b235c58c39b3dd5b24598b8cf9,ProviderSchema,11,36,272,1,1,0,0,3,2
terraform,internal/terraform/graph_builder_apply.go,d51921f08557644bcb61acf3c46bbd78a3ea3c11,Steps,1,49,303,0,0,0,0,0,0
