project,file_path,sha,method_name,cyclomatic_complexity,nloc,token_count,parameter_count,defer_count,channel_count,goroutine_count,error_handling_count,loop_count
traefik,internal/gendoc.go,bfcef58a4f701166146aa37a1132707486c3b69f,genKVDynConfDoc,6,35,195,1,0,0,0,3,2
traefik,pkg/server/server_entrypoint_tcp.go,cd16321dd9c25bb47a2e9417b2a4a75959be63d0,,1,1,15,0,0,0,0,0,0
traefik,pkg/server/server_entrypoint_tcp.go,cd16321dd9c25bb47a2e9417b2a4a75959be63d0,createHTTPServer,16,64,456,5,0,0,1,3,0
traefik,pkg/muxer/http/matcher.go,859f4e886860442207d7ebc3b047d0bad44ba461,pathPrefix,2,8,48,2,0,0,0,0,0
traefik,pkg/muxer/http/matcher.go,859f4e886860442207d7ebc3b047d0bad44ba461,pathRegexp,2,9,52,2,0,0,0,1,0
traefik,pkg/muxer/http/matcher.go,859f4e886860442207d7ebc3b047d0bad44ba461,,2,4,26,1,0,0,0,0,0
traefik,pkg/muxer/http/matcher.go,859f4e886860442207d7ebc3b047d0bad44ba461,path,2,8,48,2,0,0,0,0,0
traefik,pkg/muxer/http/matcher_v2.go,859f4e886860442207d7ebc3b047d0bad44ba461,pathV2,3,12,82,2,0,0,0,1,2
traefik,pkg/muxer/http/matcher_v2.go,859f4e886860442207d7ebc3b047d0bad44ba461,pathPrefixV2,3,12,82,2,0,0,0,1,2
traefik,pkg/muxer/http/mux.go,859f4e886860442207d7ebc3b047d0bad44ba461,ServeHTTP,4,17,117,2,0,0,0,1,1
traefik,pkg/muxer/http/mux.go,859f4e886860442207d7ebc3b047d0bad44ba461,withRoutingPath,6,31,187,1,0,0,0,1,1
traefik,pkg/muxer/http/mux.go,859f4e886860442207d7ebc3b047d0bad44ba461,getRoutingPath,2,8,45,1,0,0,0,0,0
traefik,pkg/server/server_entrypoint_tcp.go,859f4e886860442207d7ebc3b047d0bad44ba461,routingPath,1,3,20,1,0,0,0,0,0
traefik,pkg/server/server_entrypoint_tcp.go,859f4e886860442207d7ebc3b047d0bad44ba461,createHTTPServer,19,72,538,5,0,0,1,4,0
traefik,pkg/server/server_entrypoint_tcp.go,859f4e886860442207d7ebc3b047d0bad44ba461,,6,33,187,2,0,0,0,0,0
traefik,pkg/middlewares/ratelimiter/rate_limiter.go,ab3234e458c306a8a1c68f885b578a805e039daf,ServeHTTP,8,38,291,2,0,0,0,2,0
traefik,pkg/muxer/http/mux.go,08d5dfee0164aa54dd44a467870042e18e8d3f00,NewMuxer,3,14,80,0,0,0,0,1,1
traefik,pkg/server/server_entrypoint_tcp.go,08d5dfee0164aa54dd44a467870042e18e8d3f00,routingPath,1,3,20,1,0,0,0,1,1
traefik,pkg/server/server_entrypoint_tcp.go,08d5dfee0164aa54dd44a467870042e18e8d3f00,createHTTPServer,19,70,502,5,0,0,1,4,0
traefik,pkg/server/server_entrypoint_tcp.go,08d5dfee0164aa54dd44a467870042e18e8d3f00,normalizePath,1,3,20,1,0,0,0,0,1
traefik,pkg/server/server_entrypoint_tcp.go,08d5dfee0164aa54dd44a467870042e18e8d3f00,,7,35,207,2,0,0,0,0,1
traefik,pkg/provider/kubernetes/ingress/kubernetes.go,b669981018476eb75666d201254a3a0bb868913f,loadService,27,96,661,3,0,0,0,3,5
traefik,pkg/provider/kubernetes/ingress/kubernetes.go,b669981018476eb75666d201254a3a0bb868913f,loadConfigurationFromIngresses,31,140,1100,2,0,0,0,7,5
traefik,pkg/server/service/loadbalancer/p2c/p2c.go,3deea566ac303f3020225b016b2179d709a8e011,nextServer,8,31,246,0,0,0,0,0,1
traefik,pkg/provider/docker/config.go,79fde2b6dd681511a07823ccc41f5273870832fe,getIPAddress,16,56,379,2,0,0,0,4,1
traefik,pkg/provider/kubernetes/crd/kubernetes_http.go,7403b6fb82582e96cdd0a2e57451bfcd10eabb8c,loadServers,17,66,458,2,0,0,0,4,3
traefik,pkg/provider/kubernetes/crd/kubernetes_tcp.go,7403b6fb82582e96cdd0a2e57451bfcd10eabb8c,loadTCPServers,13,48,310,3,0,0,0,2,3
traefik,pkg/provider/kubernetes/crd/kubernetes_udp.go,7403b6fb82582e96cdd0a2e57451bfcd10eabb8c,loadUDPServers,15,55,340,3,0,0,0,1,4
traefik,pkg/provider/kubernetes/ingress/kubernetes.go,7403b6fb82582e96cdd0a2e57451bfcd10eabb8c,loadService,22,77,520,3,0,0,0,2,4
