project,file_path,sha,method_name,cyclomatic_complexity,nloc,token_count,parameter_count,defer_count,channel_count,goroutine_count,error_handling_count,loop_count
vault,helper/proxyutil/proxyutil.go,608322b5467cbdd8cb9f658b2d596cde30c3f1d7,,5,17,98,1,1,0,0,1,1
vault,helper/proxyutil/proxyutil.go,608322b5467cbdd8cb9f658b2d596cde30c3f1d7,WrapInProxyProto,3,19,95,2,2,0,0,1,1
vault,tools/stubmaker/main.go,3d7aab7a34539a50292170f2f5f477bc40776ca1,main,16,68,385,0,0,0,0,11,0
vault,plugins/database/mysql/connection_producer.go,2172786316ab1b772204f11cadf592331b274920,registerDriverMySQL,2,7,50,2,0,0,0,1,0
vault,sdk/database/helper/connutil/cloudsql.go,2172786316ab1b772204f11cadf592331b274920,registerDrivers,4,15,89,2,0,0,0,2,0
vault,sdk/database/helper/connutil/cloudsql.go,2172786316ab1b772204f11cadf592331b274920,GetCloudSQLAuthOptions,2,7,59,1,0,0,0,0,0
vault,sdk/database/helper/connutil/sql.go,2172786316ab1b772204f11cadf592331b274920,Init,23,73,489,2,1,0,0,6,0
vault,internalshared/configutil/listener.go,0309c9e0321cac8119093b133adc9a5a7be1a7e8,parseProxySettings,4,16,87,0,0,0,0,1,0
vault,vault/raft.go,7e74bebea84b098d9d2de0eed2490f352481717a,raftLeaderInfo,11,34,242,2,0,0,0,1,1
vault,physical/raft/raft_autopilot.go,a880df97ba60c4c6d1002a2fb750b5e76bdcabb0,newDelegate,1,6,33,1,0,0,0,0,0
vault,physical/raft/raft_autopilot.go,a880df97ba60c4c6d1002a2fb750b5e76bdcabb0,KnownServers,6,44,327,0,2,0,0,1,2
vault,physical/raft/raft_autopilot.go,a880df97ba60c4c6d1002a2fb750b5e76bdcabb0,SetupAutopilot,5,27,222,4,0,0,1,0,0
vault,sdk/helper/keysutil/policy.go,47a54ac8bc6c423805bb3be5c462a4676a62ae3c,NeedsUpgrade,11,21,129,0,0,0,0,0,0
vault,sdk/helper/keysutil/policy.go,47a54ac8bc6c423805bb3be5c462a4676a62ae3c,Upgrade,16,51,314,3,1,0,0,2,1
vault,api/lifetime_watcher.go,b986083c55182031882e54ea151f14e4b22ed193,doRenewWithOptions,32,88,509,6,0,0,0,4,1
vault,sdk/helper/ocsp/client.go,17a28278940774cc17f7496ae2aa2033f81b4502,,4,14,99,1,0,0,0,1,1
vault,sdk/helper/ocsp/client.go,17a28278940774cc17f7496ae2aa2033f81b4502,retryOCSP,21,98,647,7,1,0,0,7,3
vault,sdk/helper/ocsp/client.go,17a28278940774cc17f7496ae2aa2033f81b4502,,6,25,121,0,1,0,0,2,0
vault,sdk/helper/ocsp/client.go,17a28278940774cc17f7496ae2aa2033f81b4502,GetRevocationStatus,27,98,632,4,1,0,1,8,2
vault,sdk/helper/ocsp/client.go,17a28278940774cc17f7496ae2aa2033f81b4502,,1,3,37,2,0,0,0,0,0
vault,builtin/credential/cert/path_certs.go,1b7a8ba74a54502b78c2b5cd1f8ebde653885cb3,pathCerts,1,98,459,1,0,0,0,0,0
vault,builtin/credential/cert/path_certs.go,1b7a8ba74a54502b78c2b5cd1f8ebde653885cb3,Cert,14,29,213,3,0,0,0,2,0
vault,builtin/credential/cert/path_certs.go,1b7a8ba74a54502b78c2b5cd1f8ebde653885cb3,pathCertRead,8,39,278,3,0,0,0,1,0
vault,builtin/credential/cert/path_certs.go,1b7a8ba74a54502b78c2b5cd1f8ebde653885cb3,pathCertWrite,46,171,1143,3,0,0,0,5,1
vault,sdk/helper/ocsp/client.go,a61174815fa76c755838369fdcb39c7bfbc0fa09,extractOCSPCacheResponseValue,4,27,236,3,0,0,0,0,0
vault,audit/entry_formatter.go,30114d00383f4da20a274ff07c0b81f9298674d7,NewEntryFormatter,4,19,130,3,0,0,0,2,0
vault,audit/entry_formatter.go,30114d00383f4da20a274ff07c0b81f9298674d7,Process,14,53,371,2,0,0,0,5,0
vault,audit/entry_formatter_writer.go,30114d00383f4da20a274ff07c0b81f9298674d7,NewTemporaryFormatter,5,22,131,2,0,0,0,3,0
vault,builtin/audit/file/backend.go,30114d00383f4da20a274ff07c0b81f9298674d7,Factory,35,146,900,4,0,0,0,12,0
vault,builtin/audit/socket/backend.go,27491f82e439f7a461056172e24fbe45608b58a5,Factory,25,106,752,4,0,0,0,10,0
vault,builtin/audit/syslog/backend.go,30114d00383f4da20a274ff07c0b81f9298674d7,Factory,23,105,691,4,0,0,0,10,0
vault,helper/testhelpers/corehelpers/corehelpers.go,93f18cbd7aa8d1430cfa49a81cbc77f7af1e9798,NewNoopAudit,7,49,324,1,0,0,0,6,0
vault,vault/audit.go,ec9c9053a4e59800ff67610257a3b0229ddf06cf,newAuditBackend,14,58,410,4,0,0,0,2,0
vault,vault/audit_broker.go,1d7c5db671e6700933663269c476ed98e70b22e3,,1,3,12,0,1,0,0,0,0
vault,vault/audit_broker.go,1d7c5db671e6700933663269c476ed98e70b22e3,,3,12,104,0,1,0,0,0,0
vault,vault/audit_broker.go,1d7c5db671e6700933663269c476ed98e70b22e3,,1,3,12,0,1,0,0,0,0
vault,vault/audit_broker.go,1d7c5db671e6700933663269c476ed98e70b22e3,LogRequest,8,38,289,3,5,0,0,0,1
vault,vault/audit_broker.go,1d7c5db671e6700933663269c476ed98e70b22e3,,1,3,12,0,1,0,0,0,0
vault,vault/audit_broker.go,1d7c5db671e6700933663269c476ed98e70b22e3,,3,12,104,0,1,0,0,0,0
vault,vault/audit_broker.go,1d7c5db671e6700933663269c476ed98e70b22e3,,1,3,12,0,1,0,0,0,0
vault,vault/audit_broker.go,1d7c5db671e6700933663269c476ed98e70b22e3,LogResponse,8,38,289,3,5,0,0,0,1
vault,audit/entry_formatter.go,31074bc44881c9b43ac72bf1a1df0199190f2ec1,NewEntryFormatter,4,18,124,3,0,0,0,2,0
vault,audit/entry_formatter.go,31074bc44881c9b43ac72bf1a1df0199190f2ec1,Process,14,53,371,2,0,0,0,5,0
vault,builtin/audit/file/backend.go,17ffe62d0d5c62ec56093f612772043d8aa346f3,Factory,25,104,747,4,0,0,0,9,0
vault,builtin/audit/file/backend.go,17ffe62d0d5c62ec56093f612772043d8aa346f3,configureFormatterNode,3,14,106,2,0,0,0,2,0
vault,builtin/audit/socket/backend.go,17ffe62d0d5c62ec56093f612772043d8aa346f3,Factory,16,78,544,4,0,0,0,7,0
vault,builtin/audit/socket/backend.go,17ffe62d0d5c62ec56093f612772043d8aa346f3,configureFormatterNode,3,14,106,2,0,0,0,2,0
vault,builtin/audit/syslog/backend.go,17ffe62d0d5c62ec56093f612772043d8aa346f3,Factory,15,73,540,4,0,0,0,7,0
vault,builtin/audit/syslog/backend.go,17ffe62d0d5c62ec56093f612772043d8aa346f3,configureFormatterNode,3,14,106,2,0,0,0,2,0
vault,helper/testhelpers/corehelpers/corehelpers.go,24c6e82a84e44ea83cbf3a2307e7cc8303bd2c52,TestNoopAudit,2,8,68,4,0,0,0,1,0
vault,helper/testhelpers/corehelpers/corehelpers.go,24c6e82a84e44ea83cbf3a2307e7cc8303bd2c52,NewNoopAudit,6,43,322,2,0,0,0,5,0
vault,vault/audit.go,4d879d20fe0992066aa02d8661adf9343dd85e90,newAuditBackend,13,49,357,4,0,0,0,1,0
vault,vault/audit_broker.go,1d7c5db671e6700933663269c476ed98e70b22e3,,1,3,12,0,1,0,0,0,0
vault,vault/audit_broker.go,1d7c5db671e6700933663269c476ed98e70b22e3,,3,12,104,0,1,0,0,0,0
vault,vault/audit_broker.go,1d7c5db671e6700933663269c476ed98e70b22e3,,1,3,12,0,1,0,0,0,0
vault,vault/audit_broker.go,1d7c5db671e6700933663269c476ed98e70b22e3,LogRequest,8,38,289,3,5,0,0,0,1
vault,vault/audit_broker.go,1d7c5db671e6700933663269c476ed98e70b22e3,,1,3,12,0,1,0,0,0,0
vault,vault/audit_broker.go,1d7c5db671e6700933663269c476ed98e70b22e3,,3,12,104,0,1,0,0,0,0
vault,vault/audit_broker.go,1d7c5db671e6700933663269c476ed98e70b22e3,,1,3,12,0,1,0,0,0,0
vault,vault/audit_broker.go,1d7c5db671e6700933663269c476ed98e70b22e3,LogResponse,8,38,289,3,5,0,0,0,1
vault,vault/audit_broker.go,ebf627ceed8d6a95a04abb5b67358bda15b97d2e,,1,3,12,0,1,0,0,0,0
vault,vault/audit_broker.go,ebf627ceed8d6a95a04abb5b67358bda15b97d2e,,3,12,104,0,1,0,0,0,0
vault,vault/audit_broker.go,ebf627ceed8d6a95a04abb5b67358bda15b97d2e,,1,3,12,0,1,0,0,0,0
vault,vault/audit_broker.go,ebf627ceed8d6a95a04abb5b67358bda15b97d2e,LogRequest,11,49,419,2,5,0,0,3,0
vault,vault/audit_broker.go,ebf627ceed8d6a95a04abb5b67358bda15b97d2e,,1,1,12,0,1,0,0,0,0
vault,vault/audit_broker.go,ebf627ceed8d6a95a04abb5b67358bda15b97d2e,,3,12,104,0,1,0,0,0,0
vault,vault/audit_broker.go,ebf627ceed8d6a95a04abb5b67358bda15b97d2e,,1,3,12,0,1,0,0,0,0
vault,vault/audit_broker.go,ebf627ceed8d6a95a04abb5b67358bda15b97d2e,LogResponse,12,55,490,2,6,0,0,4,0
vault,builtin/logical/transit/path_decrypt.go,8bdd2da4119469290901733f8c07fb73ea20ce2a,pathDecryptWrite,22,79,554,3,0,0,0,5,2
vault,builtin/logical/transit/path_encrypt.go,8bdd2da4119469290901733f8c07fb73ea20ce2a,pathEncryptWrite,29,115,774,3,0,0,0,6,2
vault,builtin/logical/transit/path_hmac.go,05240c26d54a6cafc71648e576e9e36f91a6e0e2,pathHMACWrite,22,102,695,3,0,0,0,5,1
vault,builtin/logical/transit/path_hmac.go,05240c26d54a6cafc71648e576e9e36f91a6e0e2,pathHMACVerify,25,130,873,3,0,0,0,7,1
vault,builtin/logical/transit/path_rewrap.go,8bdd2da4119469290901733f8c07fb73ea20ce2a,pathRewrapWrite,25,92,637,3,0,0,0,6,1
vault,builtin/logical/transit/path_sign_verify.go,05240c26d54a6cafc71648e576e9e36f91a6e0e2,pathSignWrite,27,122,889,3,0,0,0,6,1
vault,builtin/logical/transit/path_sign_verify.go,05240c26d54a6cafc71648e576e9e36f91a6e0e2,pathVerifyWrite,42,140,988,3,0,0,0,5,2
vault,audit/entry_formatter.go,31074bc44881c9b43ac72bf1a1df0199190f2ec1,Process,14,53,371,2,0,0,0,5,0
vault,internal/observability/event/sink_stdout.go,cd02421c7a6774c79927b72f6441c2b30f7d80ca,Process,5,20,141,2,0,0,0,1,0
vault,command/agent.go,7d52daf715c9738d32c3a388d60fddc09550ac31,,2,5,19,0,0,0,0,0,1
vault,command/agent.go,7d52daf715c9738d32c3a388d60fddc09550ac31,,6,18,77,0,0,0,0,1,1
vault,command/agent.go,7d52daf715c9738d32c3a388d60fddc09550ac31,,1,3,9,1,0,0,0,0,0
vault,command/agent.go,7d52daf715c9738d32c3a388d60fddc09550ac31,,6,16,63,0,0,0,0,0,1
vault,command/agent.go,7d52daf715c9738d32c3a388d60fddc09550ac31,,1,1,6,1,0,0,0,0,0
vault,command/agent.go,7d52daf715c9738d32c3a388d60fddc09550ac31,,1,3,15,0,0,0,0,0,0
vault,command/agent.go,7d52daf715c9738d32c3a388d60fddc09550ac31,,2,6,21,1,0,0,0,0,0
vault,command/agent.go,7d52daf715c9738d32c3a388d60fddc09550ac31,,4,9,28,0,0,0,1,0,1
vault,command/agent.go,7d52daf715c9738d32c3a388d60fddc09550ac31,,2,9,50,0,0,0,1,0,1
vault,command/agent.go,7d52daf715c9738d32c3a388d60fddc09550ac31,,2,6,21,1,0,0,0,0,0
vault,command/agent.go,7d52daf715c9738d32c3a388d60fddc09550ac31,,1,3,21,0,0,0,0,0,0
vault,command/agent.go,7d52daf715c9738d32c3a388d60fddc09550ac31,,2,7,26,1,0,0,0,0,0
vault,command/agent.go,7d52daf715c9738d32c3a388d60fddc09550ac31,,2,5,37,0,1,0,0,1,0
vault,command/agent.go,7d52daf715c9738d32c3a388d60fddc09550ac31,,2,5,25,1,0,0,0,0,0
vault,command/agent.go,7d52daf715c9738d32c3a388d60fddc09550ac31,,4,9,77,2,0,0,0,0,0
vault,command/agent.go,7d52daf715c9738d32c3a388d60fddc09550ac31,,2,5,23,1,0,0,0,0,0
vault,command/agent.go,7d52daf715c9738d32c3a388d60fddc09550ac31,,2,5,23,1,0,0,0,0,0
vault,command/agent.go,7d52daf715c9738d32c3a388d60fddc09550ac31,,6,28,221,2,0,0,0,1,0
vault,command/agent.go,7d52daf715c9738d32c3a388d60fddc09550ac31,,3,14,65,2,0,0,0,0,0
vault,command/agent.go,7d52daf715c9738d32c3a388d60fddc09550ac31,,7,35,214,1,0,0,0,5,0
vault,command/agent.go,7d52daf715c9738d32c3a388d60fddc09550ac31,,5,19,127,1,0,0,0,3,1
vault,command/agent.go,7d52daf715c9738d32c3a388d60fddc09550ac31,,4,19,107,1,1,0,0,3,0
vault,command/agent.go,7d52daf715c9738d32c3a388d60fddc09550ac31,,2,8,44,1,0,0,0,1,0
vault,command/agent.go,7d52daf715c9738d32c3a388d60fddc09550ac31,,3,12,64,1,1,0,0,1,1
vault,command/agent.go,7d52daf715c9738d32c3a388d60fddc09550ac31,,4,11,74,1,0,0,0,1,1
vault,command/proxy.go,6b4b0f7aaf92be367abf96214f6569c249858471,,2,5,19,0,0,0,0,0,1
vault,command/proxy.go,6b4b0f7aaf92be367abf96214f6569c249858471,,6,18,77,0,0,0,0,1,1
vault,command/proxy.go,6b4b0f7aaf92be367abf96214f6569c249858471,,1,3,9,1,0,0,0,0,0
vault,command/proxy.go,6b4b0f7aaf92be367abf96214f6569c249858471,,6,16,63,0,0,0,0,0,1
vault,command/proxy.go,6b4b0f7aaf92be367abf96214f6569c249858471,,1,1,6,1,0,0,0,0,0
vault,command/proxy.go,6b4b0f7aaf92be367abf96214f6569c249858471,,1,3,15,0,0,0,0,0,0
vault,command/proxy.go,6b4b0f7aaf92be367abf96214f6569c249858471,,2,6,21,1,0,0,0,0,0
vault,command/proxy.go,6b4b0f7aaf92be367abf96214f6569c249858471,,4,9,28,0,0,0,1,0,1
vault,command/proxy.go,6b4b0f7aaf92be367abf96214f6569c249858471,,1,6,34,0,0,0,1,0,1
vault,command/proxy.go,6b4b0f7aaf92be367abf96214f6569c249858471,,2,6,21,1,0,0,0,0,0
vault,command/proxy.go,6b4b0f7aaf92be367abf96214f6569c249858471,,2,5,37,0,1,0,0,1,0
