project,file_path,sha,method_name,cyclomatic_complexity,nloc,token_count,parameter_count,defer_count,channel_count,goroutine_count,error_handling_count,loop_count
vault,api/tokenhelper/helper_external.go,a6c35b6d5e63ce77aaaeec86730427a3083e7dc4,cmd,1,9,88,1,0,0,0,0,0
vault,api/tokenhelper/helper_external.go,a6c35b6d5e63ce77aaaeec86730427a3083e7dc4,execScript,3,15,78,1,0,0,0,0,0
vault,helper/proxyutil/proxyutil.go,89276a56b2267ca49041be0bd9c7be7c96d3b94d,,5,17,108,1,1,0,0,1,1
vault,helper/proxyutil/proxyutil.go,89276a56b2267ca49041be0bd9c7be7c96d3b94d,WrapInProxyProto,3,21,111,2,2,0,0,1,1
vault,vault/identity_store_oidc.go,59342940fdeba2220554adf62b1452f0552fc5b7,generatePublicJWKS,20,75,472,2,1,0,0,10,5
vault,tools/stubmaker/main.go,d8c241838ac05a5a4256e4e805c4a28fc0814ff9,main,20,80,402,0,0,0,0,13,0
vault,plugins/database/mysql/connection_producer.go,3372a9b4db8ca8be4191677f6bfdc327ca70d293,registerDriverMySQL,2,7,52,2,0,0,0,1,0
vault,sdk/database/helper/connutil/cloudsql.go,3372a9b4db8ca8be4191677f6bfdc327ca70d293,GetCloudSQLAuthOptions,3,10,83,2,0,0,0,0,0
vault,sdk/database/helper/connutil/cloudsql.go,3372a9b4db8ca8be4191677f6bfdc327ca70d293,registerDrivers,4,15,94,3,0,0,0,2,0
vault,sdk/database/helper/connutil/cloudsql.go,3372a9b4db8ca8be4191677f6bfdc327ca70d293,GetCloudSQLAuthOptions,2,7,59,1,0,0,0,0,0
vault,sdk/database/helper/connutil/cloudsql.go,3372a9b4db8ca8be4191677f6bfdc327ca70d293,registerDrivers,4,15,89,2,0,0,0,2,0
vault,sdk/database/helper/connutil/sql.go,3372a9b4db8ca8be4191677f6bfdc327ca70d293,Init,23,73,493,2,1,0,0,6,0
vault,internalshared/configutil/listener.go,12e7c77ecc9d006bdff6b13a1b36cb5e07079a62,parseProxySettings,4,16,87,0,0,0,0,1,0
vault,vault/raft.go,d64856c6c9255c0079db10659e6cc04232692285,formatDiscoveredAddr,5,13,107,2,0,0,0,1,0
vault,vault/raft.go,d64856c6c9255c0079db10659e6cc04232692285,raftLeaderInfo,9,32,215,2,0,0,0,1,1
vault,api/secret.go,2a1775f45f63ae485043375f71dc4d705ad256b5,TokenPolicies,19,70,393,0,0,0,0,0,2
vault,helper/testhelpers/testhelpers_oss.go,2054ffcbfa519e72fe5b025fcd3f22bb05a23c50,,3,8,32,2,0,0,0,0,1
vault,helper/testhelpers/testhelpers_oss.go,2054ffcbfa519e72fe5b025fcd3f22bb05a23c50,WaitForNodesExcludingSelectedStandbys,4,12,72,3,0,0,0,0,2
vault,physical/raft/raft_autopilot.go,2054ffcbfa519e72fe5b025fcd3f22bb05a23c50,NewDelegate,1,7,48,1,0,0,0,0,0
vault,physical/raft/raft_autopilot.go,2054ffcbfa519e72fe5b025fcd3f22bb05a23c50,SetupAutopilot,6,30,245,4,0,0,1,0,0
vault,physical/raft/raft_autopilot.go,2054ffcbfa519e72fe5b025fcd3f22bb05a23c50,KnownServers,11,73,535,0,2,0,0,1,2
vault,physical/raft/raft_autopilot.go,2054ffcbfa519e72fe5b025fcd3f22bb05a23c50,newDelegate,1,7,48,1,0,0,0,0,0
vault,vault/raft.go,2054ffcbfa519e72fe5b025fcd3f22bb05a23c50,NewDelegateForCore,1,3,24,1,0,0,0,0,0
vault,sdk/helper/keysutil/policy.go,e9f9e7d7f044d0171f1886a20f7acad7f1ebf3a8,HMACSupported,3,10,34,0,0,0,0,0,0
vault,sdk/helper/keysutil/policy.go,e9f9e7d7f044d0171f1886a20f7acad7f1ebf3a8,NeedsUpgrade,12,23,139,0,0,0,0,0,0
vault,sdk/helper/keysutil/policy.go,e9f9e7d7f044d0171f1886a20f7acad7f1ebf3a8,Upgrade,18,56,339,3,1,0,0,2,1
vault,api/lifetime_watcher.go,57cb563be571599798325ad525075c0d63eef7c1,doRenewWithOptions,31,88,499,6,0,0,0,4,1
vault,builtin/credential/cert/path_login.go,2fe676e75b39d0e39b0fa23a458345370bca41b7,checkForCertInOCSP,8,24,165,4,1,0,0,3,0
vault,sdk/helper/ocsp/client.go,2fe676e75b39d0e39b0fa23a458345370bca41b7,retryOCSP,21,98,647,7,1,0,0,8,2
vault,sdk/helper/ocsp/client.go,2fe676e75b39d0e39b0fa23a458345370bca41b7,,7,28,144,0,0,0,0,3,0
vault,sdk/helper/ocsp/client.go,2fe676e75b39d0e39b0fa23a458345370bca41b7,IsOcspVerificationError,1,4,25,1,0,0,0,0,0
vault,sdk/helper/ocsp/client.go,2fe676e75b39d0e39b0fa23a458345370bca41b7,retryOCSP,15,76,502,8,1,0,0,7,2
vault,sdk/helper/ocsp/client.go,2fe676e75b39d0e39b0fa23a458345370bca41b7,GetRevocationStatus,34,112,724,4,1,0,1,10,2
vault,sdk/helper/ocsp/client.go,2fe676e75b39d0e39b0fa23a458345370bca41b7,,7,28,148,1,1,0,0,3,0
vault,sdk/helper/ocsp/client.go,2fe676e75b39d0e39b0fa23a458345370bca41b7,Error,1,3,23,0,0,0,0,0,0
vault,sdk/helper/ocsp/client.go,2fe676e75b39d0e39b0fa23a458345370bca41b7,validateOCSPParsedResponse,12,36,268,3,0,0,0,2,1
vault,builtin/credential/cert/path_certs.go,6fca34eace86a4850a7f4e0f7860fc001ba58dea,pathCertWrite,47,148,1213,3,1,0,0,10,1
vault,builtin/credential/cert/path_certs.go,6fca34eace86a4850a7f4e0f7860fc001ba58dea,pathCertRead,8,47,333,3,0,0,0,1,0
vault,builtin/credential/cert/path_certs.go,6fca34eace86a4850a7f4e0f7860fc001ba58dea,Cert,14,29,218,3,0,0,0,2,0
vault,builtin/credential/cert/path_certs.go,6fca34eace86a4850a7f4e0f7860fc001ba58dea,pathCerts,1,186,735,1,0,0,0,0,0
vault,builtin/credential/cert/path_login.go,6fca34eace86a4850a7f4e0f7860fc001ba58dea,loadTrustedCerts,13,68,442,3,0,0,0,2,2
vault,builtin/credential/cert/path_login.go,6fca34eace86a4850a7f4e0f7860fc001ba58dea,handleOcspErrorInFailOpen,6,19,110,1,0,0,0,2,1
vault,builtin/credential/cert/path_login.go,6fca34eace86a4850a7f4e0f7860fc001ba58dea,checkForCertInOCSP,7,21,152,4,1,0,0,2,0
vault,sdk/helper/ocsp/client.go,6fca34eace86a4850a7f4e0f7860fc001ba58dea,GetRevocationStatus,33,109,705,4,1,0,1,9,2
vault,sdk/helper/ocsp/client.go,94d42235cf28f8194aa0a5ccafd4c67afd344c64,internalStatusCodeToSDK,4,12,41,1,0,0,0,0,0
vault,sdk/helper/ocsp/client.go,94d42235cf28f8194aa0a5ccafd4c67afd344c64,extractOCSPCacheResponseValue,4,28,239,3,0,0,0,0,0
vault,audit/entry_formatter.go,0ccfbc039054d53fcc2ce911ab41dc2b3727dba1,,2,12,81,0,1,0,0,0,0
vault,audit/entry_formatter.go,0ccfbc039054d53fcc2ce911ab41dc2b3727dba1,NewEntryFormatter,4,19,130,3,0,0,0,1,0
vault,audit/entry_formatter.go,0ccfbc039054d53fcc2ce911ab41dc2b3727dba1,Process,20,85,585,2,1,0,0,7,0
vault,audit/entry_formatter.go,0ccfbc039054d53fcc2ce911ab41dc2b3727dba1,NewEntryFormatter,7,28,207,5,0,0,0,2,0
vault,audit/entry_formatter_writer.go,0ccfbc039054d53fcc2ce911ab41dc2b3727dba1,NewTemporaryFormatter,5,22,139,2,0,0,0,3,0
vault,builtin/audit/file/backend.go,0ccfbc039054d53fcc2ce911ab41dc2b3727dba1,Factory,37,149,1025,4,0,0,0,12,0
vault,builtin/audit/socket/backend.go,0ccfbc039054d53fcc2ce911ab41dc2b3727dba1,Factory,27,113,814,4,0,0,0,10,0
vault,builtin/audit/syslog/backend.go,0ccfbc039054d53fcc2ce911ab41dc2b3727dba1,Factory,26,107,786,4,0,0,0,10,0
vault,helper/testhelpers/corehelpers/corehelpers.go,0ccfbc039054d53fcc2ce911ab41dc2b3727dba1,NewNoopAudit,7,52,347,1,0,0,0,6,0
vault,vault/audit.go,0ccfbc039054d53fcc2ce911ab41dc2b3727dba1,newAuditBackend,14,55,410,4,0,0,0,2,0
vault,vault/audit_broker.go,0ccfbc039054d53fcc2ce911ab41dc2b3727dba1,LogRequest,12,52,395,3,5,0,0,2,1
vault,vault/audit_broker.go,0ccfbc039054d53fcc2ce911ab41dc2b3727dba1,,5,20,149,0,1,0,0,0,0
vault,vault/audit_broker.go,0ccfbc039054d53fcc2ce911ab41dc2b3727dba1,LogResponse,13,61,474,3,6,0,0,3,1
vault,audit/entry_formatter.go,67c16342d86aec77d7662e67d2950eae077ca9e7,,2,12,81,0,1,0,0,0,0
vault,audit/entry_formatter.go,67c16342d86aec77d7662e67d2950eae077ca9e7,NewEntryFormatter,4,19,130,3,0,0,0,0,0
vault,audit/entry_formatter.go,67c16342d86aec77d7662e67d2950eae077ca9e7,Process,23,88,618,2,1,0,0,7,0
vault,audit/entry_formatter.go,67c16342d86aec77d7662e67d2950eae077ca9e7,NewEntryFormatter,7,28,207,5,0,0,0,2,0
vault,builtin/audit/file/backend.go,67c16342d86aec77d7662e67d2950eae077ca9e7,Factory,17,68,521,3,0,0,0,5,0
vault,builtin/audit/file/backend.go,67c16342d86aec77d7662e67d2950eae077ca9e7,configureFormatterNode,3,14,118,4,0,0,0,2,0
vault,builtin/audit/file/backend.go,67c16342d86aec77d7662e67d2950eae077ca9e7,configureFormatterNode,3,14,106,2,0,0,0,1,0
vault,builtin/audit/socket/backend.go,67c16342d86aec77d7662e67d2950eae077ca9e7,Factory,16,68,495,3,0,0,0,5,0
vault,builtin/audit/socket/backend.go,67c16342d86aec77d7662e67d2950eae077ca9e7,configureFormatterNode,3,14,118,4,0,0,0,2,0
vault,builtin/audit/socket/backend.go,67c16342d86aec77d7662e67d2950eae077ca9e7,configureFormatterNode,3,14,106,2,0,0,0,2,0
vault,builtin/audit/syslog/backend.go,67c16342d86aec77d7662e67d2950eae077ca9e7,Factory,15,64,467,3,0,0,0,5,0
